Student,Language Used
student 13,1.4545454545454546
student 14,2.111111111111111
student 16,2
student 21,2.1666666666666665
student 22,1.25
student 3,1
student 4,1
student 5,1.6666666666666667
student 7,1.3333333333333333
student 8,1
