Student,Language Used
student 12,1.2
student 14,1
student 18,1.2941176470588236
student 2,1
student 21,1.5714285714285714
student 24,2
student 25,2
student 26,1.3636363636363635
student 27,1.5
student 4,1
student 8,2.45
